iter	RMSE
929	0.1281200811
930	0.127998589
931	0.1278140647
932	0.1275174113
933	0.1274876758
934	0.1274835861
935	0.1273956291
936	0.1272949164
937	0.127232616
938	0.1270036844
939	0.1269413674
940	0.1266859897
941	0.1265854774
942	0.1265047226
943	0.1264240908
944	0.1263035673
945	0.126178597
946	0.1261719441
947	0.1260873857
948	0.1259966491
949	0.1258485409
950	0.1257209799
951	0.1255174562
952	0.1255151129
953	0.1254080151
954	0.1252083677
955	0.1250911639
956	0.1248690629
957	0.1247582571
958	0.1244110958
959	0.1242837002
960	0.1240272652
961	0.1238359181
962	0.1237082
963	0.1235649097
964	0.123486585
965	0.1232822381
966	0.1230690307
967	0.1228527443
968	0.1227998461
969	0.1225963908
970	0.1224913933
971	0.1223482647
972	0.1221990166
973	0.1220002262
974	0.1218147006
975	0.1215270687
976	0.1214425394
977	0.1212629105
978	0.1210663422
979	0.1209411555
980	0.1207052274
981	0.1206487782
982	0.1205761027
983	0.1205287679
984	0.120443853
985	0.1203735579
986	0.1203251457
987	0.1200620803
988	0.1200058363
989	0.1198381098
990	0.1197957505
991	0.1196222521
992	0.1194279538
993	0.1193730935
994	0.1192830809
995	0.1190918226
996	0.1189881701
997	0.1189341571
998	0.1188894217
999	0.1186462389
